order_id,order_date,store,sku,product_name,category,quantity,unit_price
50276,2025-04-10,Alpharetta,SKU-2001,Office Chair,Furniture,4,$189.00
51430,01/03/2025,Kennesaw,SKU-2002,Standing Desk,Furniture,1,$349.00
51260,2025-02-25,Atlanta,SKU-3001,Notebook 3-Pack,Office Supplies,5,$8.49
50184,2025-01-02,Smyrna,SKU-1003,USB-C Hub,Electronics,3,39.99
52651,2025-05-19,Atlanta,SKU-2002,Standing Desk,Furniture,1,349.00
52137,05/09/2025,MARIETTA,SKU-2001,Office Chair,Furniture,5,$189.00
50208,2025-05-22,Marietta,SKU-3003,Desk Organizer,Office Supplies,4,21.50
51053,2025-01-30,Marietta,SKU-3001,Notebook 3-Pack,Office Supplies,5,$8.49
51951,03/10/2025,Kennesaw,SKU-1002,Mechanical Keyboard,Electronics,4,$89.99
50774,2025-06-08,ALPHARETTA,SKU-3001,Notebook 3-Pack,Office Supplies,1,$8.49
51756,2025-05-04,Marietta,SKU-2001,Office Chair,Furniture,6,$189.00
52073,03/29/2025,Alpharetta,SKU-2002,Standing Desk,Furniture,1,349.00
52231,2025-01-25,ATLANTA,SKU-2002,Standing Desk,Furniture,2,349.00
51349,2025-02-18,Marietta,SKU-1002,Mechanical Keyboard,Electronics,6,$89.99
50699,19-Feb-2025,ALPHARETTA,SKU-3003,Desk Organizer,Office Supplies,2,$21.50
52803,04/09/2025,Kennesaw,SKU-3003,Desk Organizer,Office Supplies,4,21.50
52834,10-May-2025,Alpharetta,SKU-2002,Standing Desk,Furniture,1,349.00
51838,01/31/2025,Kennesaw,SKU-2001,Office Chair,Furniture,1,189.00
50671,02/13/2025,MARIETTA,SKU-3001,Notebook 3-Pack,Office Supplies,3,$8.49
51599,2025-02-02,SMYRNA,SKU-1001,Wireless Mouse,Electronics,4,24.99
52063,21-Mar-2025,Alpharetta,SKU-2002,Standing Desk,Furniture,6,349.00
50485,24-Jun-2025,Atlanta,SKU-1003,USB-C Hub,Electronics,4, 39.99 
52623,14-Jun-2025,Alpharetta,SKU-3003,Desk Organizer,Office Supplies,5,$21.50
52213,2025-04-21,ATLANTA,SKU-1002,Mechanical Keyboard,Electronics,6,89.99
50608,2025-01-21,alpharetta,SKU-1001,Wireless Mouse,Electronics,2,24.99
51367,2025-03-29,ALPHARETTA,SKU-2002,Standing Desk,Furniture,4,$349.00
50678,2025-01-02,Kennesaw,SKU-1001,Wireless Mouse,Electronics,6, 24.99 
51380,2025-01-10,marietta,SKU-1003,USB-C Hub,Electronics,3,39.99
50070,2025-03-10,KENNESAW,SKU-3002,Gel Pens 12ct,Office Supplies,5,11.99
52415,17-May-2025,Marietta,SKU-1003,USB-C Hub,Electronics,6,39.99
52028,09-Mar-2025,Atlanta,SKU-1003,USB-C Hub,Electronics,6,39.99
52885,2025-03-31,Marietta,SKU-1002,Mechanical Keyboard,Electronics,1,89.99
52112,05/11/2025,Kennesaw,SKU-1003,USB-C Hub,Electronics,3,$39.99
51274,06/07/2025,Smyrna,SKU-1001,Wireless Mouse,Electronics,5,24.99
52849,2025-03-15,KENNESAW,SKU-1003,USB-C Hub,Electronics,4,$39.99
50629,2025-02-16,KENNESAW,SKU-2001,Office Chair,Furniture,1,189.00
52194,29-May-2025,Marietta,SKU-1003,USB-C Hub,Electronics,6, 39.99 
52857,01/22/2025,SMYRNA,SKU-1002,Mechanical Keyboard,Electronics,1,$89.99
52825,2025-04-23,alpharetta,SKU-1001,Wireless Mouse,Electronics,4,24.99
50205,03/05/2025,SMYRNA,SKU-3002,Gel Pens 12ct,Office Supplies,4,11.99
50945,2025-01-16,Atlanta,SKU-2002,Standing Desk,Furniture,6,349.00
51519,2025-04-22,Marietta,SKU-1003,USB-C Hub,Electronics,6,39.99
50106,01/31/2025,Smyrna,SKU-1001,Wireless Mouse,Electronics,2,24.99
52234,2025-02-03,SMYRNA,SKU-3002,Gel Pens 12ct,Office Supplies,2,11.99
50876,01/10/2025,Alpharetta,SKU-1003,USB-C Hub,Electronics,6,39.99
50237,03/04/2025,Marietta,SKU-1002,Mechanical Keyboard,Electronics,2,89.99
50904,2025-03-20,Atlanta,SKU-2002,Standing Desk,Furniture,1,349.00
50400,2025-06-28,Alpharetta,SKU-1003,USB-C Hub,Electronics,1,39.99
51668,07-Feb-2025,Smyrna,SKU-1002,Mechanical Keyboard,Electronics,1,$89.99
52482,2025-06-17,Smyrna,SKU-2001,Office Chair,Furniture,1, 189.00 
50535,2025-01-15,Atlanta,SKU-1002,Mechanical Keyboard,Electronics,3,89.99
50639,03/03/2025,Kennesaw,SKU-1001,Wireless Mouse,Electronics,2,$24.99
52228,06/21/2025,atlanta,SKU-1003,USB-C Hub,Electronics,5,39.99
51631,06-Apr-2025,kennesaw,SKU-2002,Standing Desk,Furniture,4,349.00
52796,05/28/2025,Marietta,SKU-3003,Desk Organizer,Office Supplies,3,21.50
51039,01/21/2025,Marietta,SKU-2002,Standing Desk,Furniture,4,$349.00
52247,07-Jan-2025,atlanta,SKU-3003,Desk Organizer,Office Supplies,1,21.50
50070,2025-03-10,KENNESAW,SKU-3002,Gel Pens 12ct,Office Supplies,5,11.99
52820,05/25/2025,Atlanta,SKU-3002,Gel Pens 12ct,Office Supplies,3,11.99
50386,2025-04-22,Atlanta,SKU-3002,Gel Pens 12ct,Office Supplies,4,11.99
52998,2025-01-21,kennesaw,SKU-1001,Wireless Mouse,Electronics,5,24.99
51626,02/28/2025,Marietta,SKU-1003,USB-C Hub,Electronics,3,$39.99
51578,10-Jun-2025,Atlanta,SKU-1001,Wireless Mouse,Electronics,6,24.99
50500,2025-05-19,Kennesaw,SKU-1003,USB-C Hub,Electronics,2,39.99
52920,05/20/2025,Marietta,SKU-1002,Mechanical Keyboard,Electronics,3, 89.99 
51920,18-Jan-2025,Atlanta,SKU-2002,Standing Desk,Furniture,5,$349.00
51504,03/21/2025,Atlanta,SKU-3001,Notebook 3-Pack,Office Supplies,3,8.49
50508,2025-04-26,Kennesaw,SKU-3001,Notebook 3-Pack,Office Supplies,1,$8.49
51115,05-May-2025,Marietta,SKU-2001,Office Chair,Furniture,6,189.00
51368,14-Jun-2025,Smyrna,SKU-1001,Wireless Mouse,Electronics,1,$24.99
50820,2025-03-06,Marietta,SKU-1003,USB-C Hub,Electronics,5,39.99
51230,23-May-2025,Kennesaw,SKU-2001,Office Chair,Furniture,6, 189.00 
52822,2025-01-04,Atlanta,SKU-1003,USB-C Hub,Electronics,4,39.99
50023,30-Mar-2025,Kennesaw,SKU-3003,Desk Organizer,Office Supplies,6,21.50
52434,01-May-2025,Alpharetta,SKU-3002,Gel Pens 12ct,Office Supplies,6,11.99
51244,06/24/2025,Atlanta,SKU-1002,Mechanical Keyboard,Electronics,5,$89.99
52260,31-May-2025,Atlanta,SKU-3003,Desk Organizer,Office Supplies,4,21.50
52321,2025-01-21,Smyrna,SKU-3002,Gel Pens 12ct,Office Supplies,4,11.99
141335,05/16/2025,Kennesaw,SKU-2001,Office Chair,Furniture,N/A, 189.00 
50566,28-Jun-2025,Atlanta,SKU-1002,Mechanical Keyboard,Electronics,6,89.99
51758,06/23/2025,Marietta,SKU-1001,Wireless Mouse,Electronics,3,24.99
52726,2025-01-13,MARIETTA,SKU-2002,Standing Desk,Furniture,6,$349.00
50467,2025-05-25,Kennesaw,SKU-2002,Standing Desk,Furniture,5,349.00
52439,06/11/2025,Smyrna,SKU-1002,Mechanical Keyboard,Electronics,6,89.99
52924,2025-01-15,Marietta,SKU-3003,Desk Organizer,Office Supplies,1,21.50
51243,2025-06-15,Smyrna,SKU-3002,Gel Pens 12ct,Office Supplies,1, 11.99 
51400,2025-05-03,Atlanta,SKU-3003,Desk Organizer,Office Supplies,5,21.50
51120,02/04/2025,Kennesaw,SKU-3002,Gel Pens 12ct,Office Supplies,4,11.99
50029,03/06/2025,Smyrna,SKU-2001,Office Chair,Furniture,3,189.00
52461,2025-05-17,Alpharetta,SKU-2002,Standing Desk,Furniture,1,349.00
50412,04/30/2025,Atlanta,SKU-2001,Office Chair,Furniture,2,189.00
52819,19-Jan-2025,Marietta,SKU-2002,Standing Desk,Furniture,4,$349.00
51111,05/03/2025,Alpharetta,SKU-3001,Notebook 3-Pack,Office Supplies,5,$8.49
50835,06-Jun-2025,kennesaw,SKU-1002,Mechanical Keyboard,Electronics,2,89.99
52625,01/20/2025,Atlanta,SKU-1001,Wireless Mouse,Electronics,1,24.99
51828,01/16/2025,Alpharetta,SKU-2001,Office Chair,Furniture,5,189.00
50167,03/22/2025,Alpharetta,SKU-2002,Standing Desk,Furniture,6,349.00
52308,2025-06-09,Atlanta,SKU-1002,Mechanical Keyboard,Electronics,5,$89.99
51957,25-Mar-2025,Alpharetta,SKU-1001,Wireless Mouse,Electronics,6,24.99
51166,2025-03-28,ALPHARETTA,SKU-3001,Notebook 3-Pack,Office Supplies,6,8.49
52300,02/27/2025,smyrna,SKU-2002,Standing Desk,Furniture,5,349.00
142601,03/03/2025,KENNESAW,,Standing Desk,Furniture,2,349.00
50727,2025-06-28,Alpharetta,SKU-3003,Desk Organizer,Office Supplies,5,21.50
51232,2025-02-24,Alpharetta,SKU-3002,Gel Pens 12ct,Office Supplies,6,11.99
50898,06/27/2025,Marietta,SKU-3001,Notebook 3-Pack,Office Supplies,6, 8.49 
