ticker,trade_date,open,high,low,close,volume
AAPL,2023-01-02,185.0,185.17,184.55,184.66,11442803
AAPL,2023-01-03,184.66,187.14,184.39,186.81,4961231
AAPL,2023-01-04,186.81,188.76,186.16,187.59,7564903
AAPL,2023-01-05,187.59,188.26,186.28,188.01,15291616
AAPL,2023-01-06,188.01,188.5,186.28,187.15,13291193
AAPL,2023-01-09,187.15,187.72,185.01,186.52,21575410
AAPL,2023-01-10,186.52,187.39,183.22,183.87,13005736
AAPL,2023-01-11,183.87,183.95,180.08,180.36,3634065
AAPL,2023-01-12,180.36,182.63,179.74,182.29,6715188
AAPL,2023-01-13,182.29,184.23,181.8,183.77,7959185
AAPL,2023-01-16,183.77,187.52,183.27,186.11,6490599
AAPL,2023-01-17,186.11,189.64,184.67,188.68,4158177
AAPL,2023-01-18,188.68,192.88,188.06,190.52,7023217
AAPL,2023-01-19,190.52,191.49,188.18,188.75,3908877
AAPL,2023-01-20,188.75,189.04,184.81,186.65,4720195
AAPL,2023-01-23,186.65,187.83,183.48,183.5,1833088
AAPL,2023-01-24,183.5,185.38,182.61,184.38,8072250
AAPL,2023-01-25,184.38,185.74,182.98,185.59,2656765
AAPL,2023-01-26,185.59,186.3,178.09,178.62,5393658
AAPL,2023-01-27,178.62,180.26,176.13,177.13,3033985
AAPL,2023-01-30,177.13,177.47,175.85,175.94,9925932
AAPL,2023-01-31,175.94,176.77,172.53,172.53,4367445
AAPL,2023-02-01,172.53,179.02,171.62,177.43,7377418
AAPL,2023-02-02,177.43,180.38,177.24,179.18,4874974
AAPL,2023-02-03,179.18,179.56,174.52,174.77,4722874
AAPL,2023-02-06,174.77,177.64,174.31,177.15,3595447
AAPL,2023-02-07,177.15,178.14,175.95,177.48,2386463
AAPL,2023-02-08,177.48,179.4,176.99,179.29,15325850
AAPL,2023-02-09,179.29,179.57,174.2,174.42,2599384
AAPL,2023-02-10,174.42,175.34,172.32,172.8,11093611
