trade_id,trade_date,ticker,side,quantity,fill_price
1,2023-01-04,V,BUY,1,241.95
2,2023-01-05,CAT,BUY,3,278.13
3,2023-01-06,JPM,BUY,14,148.2
4,2023-01-09,WMT,BUY,8,159.09
5,2023-01-09,AAPL,BUY,13,186.06
6,2023-01-10,WMT,SELL,5,159.15
7,2023-01-17,KO,BUY,15,61.34
8,2023-01-17,XOM,BUY,6,112.96
9,2023-01-19,BAC,BUY,11,33.48
10,2023-01-19,BA,BUY,9,196.23
11,2023-01-20,PG,BUY,2,149.02
12,2023-01-20,CVX,BUY,6,149.88
13,2023-01-23,XOM,BUY,14,104.81
14,2023-01-23,JNJ,BUY,1,160.29
15,2023-01-24,TSLA,BUY,10,197.62
16,2023-01-26,TSLA,SELL,6,204.8
17,2023-01-27,CVX,BUY,13,148.98
18,2023-01-30,TSLA,BUY,9,204.6
19,2023-01-31,GOOG,BUY,9,152.4
20,2023-02-01,WMT,BUY,7,150.84
21,2023-02-03,HD,BUY,4,355.98
22,2023-02-06,V,BUY,3,249.93
23,2023-02-07,TSLA,BUY,12,227.57
24,2023-02-08,JPM,BUY,1,135.04
25,2023-02-10,MSFT,BUY,3,351.11
26,2023-02-17,JPM,BUY,13,138.47
27,2023-02-20,AAPL,BUY,2,177.38
28,2023-02-20,BAC,BUY,13,30.17
29,2023-02-28,AMZN,BUY,4,154.19
30,2023-03-03,HD,SELL,3,346.13
31,2023-03-03,HD,BUY,13,343.32
32,2023-03-08,AMZN,BUY,5,147.45
33,2023-03-10,BA,SELL,8,186.55
34,2023-03-15,JPM,BUY,1,149.93
35,2023-03-15,XOM,SELL,19,103.41
36,2023-03-17,PG,BUY,4,150.26
37,2023-03-17,NVDA,BUY,13,488.27
38,2023-03-21,BAC,BUY,11,30.73
39,2023-03-23,PG,BUY,6,152.64
40,2023-03-24,CVX,BUY,10,178.04
41,2023-03-28,PFE,BUY,8,21.79
42,2023-03-31,GOOG,BUY,15,169.35
43,2023-03-31,CVX,SELL,8,169.57
44,2023-04-03,WMT,BUY,13,161.13
45,2023-04-06,TSLA,BUY,8,319.4
46,2023-04-07,KO,SELL,3,61.27
47,2023-04-07,V,BUY,4,255.83
48,2023-04-11,CVX,BUY,1,174.09
49,2023-04-11,TSLA,BUY,13,361.27
50,2023-04-13,AMZN,BUY,8,127.2
51,2023-04-21,KO,BUY,8,60.66
52,2023-04-21,PFE,BUY,10,22.83
53,2023-04-26,AMZN,SELL,7,124.03
54,2023-04-28,MSFT,BUY,13,316.37
55,2023-04-28,TSLA,BUY,6,408.99
56,2023-05-03,PFE,BUY,11,23.0
57,2023-05-04,PG,SELL,3,161.46
58,2023-05-04,V,BUY,5,271.42
59,2023-05-08,BA,BUY,9,202.87
60,2023-05-10,BA,SELL,1,212.6
61,2023-05-22,NVDA,BUY,9,423.23
62,2023-05-22,XOM,BUY,8,130.2
63,2023-05-25,JPM,SELL,9,144.17
64,2023-05-30,CVX,BUY,9,191.03
65,2023-05-30,JNJ,SELL,1,157.41
66,2023-06-01,PFE,BUY,3,21.19
67,2023-06-01,JPM,BUY,2,132.67
68,2023-06-08,HD,SELL,14,366.75
69,2023-06-12,PG,BUY,11,156.82
70,2023-06-13,PG,SELL,16,158.26
71,2023-06-20,UNH,BUY,13,504.92
72,2023-06-22,XOM,SELL,4,123.25
73,2023-06-28,JPM,BUY,15,123.59
74,2023-06-30,CAT,BUY,6,366.44
75,2023-06-30,UNH,BUY,15,515.37
76,2023-07-04,WMT,BUY,11,134.82
77,2023-07-10,MSFT,BUY,8,286.42
78,2023-07-13,BAC,BUY,12,33.21
79,2023-07-17,AMZN,SELL,10,146.84
80,2023-07-17,PFE,BUY,12,19.12
81,2023-07-18,BA,SELL,1,176.71
82,2023-07-18,HD,BUY,14,319.22
83,2023-07-28,XOM,SELL,3,114.74
84,2023-07-28,KO,SELL,10,70.43
85,2023-07-31,CVX,SELL,16,185.68
86,2023-07-31,MSFT,BUY,13,268.81
87,2023-08-01,BAC,BUY,10,33.58
88,2023-08-03,JPM,BUY,3,134.85
89,2023-08-07,HD,BUY,15,294.28
90,2023-08-09,JNJ,BUY,6,165.41
91,2023-08-11,WMT,BUY,9,135.76
92,2023-08-15,NVDA,SELL,13,446.94
93,2023-08-15,V,SELL,11,353.47
