month,month_rank,ticker,sector,return_pct
2023-01,1,AMZN,Consumer Discretionary,10.15
2023-01,2,GOOG,Technology,8.66
2023-01,3,HD,Consumer Discretionary,7.25
2023-02,1,TSLA,Consumer Discretionary,18.26
2023-02,2,GOOG,Technology,18.24
2023-02,3,CVX,Energy,6.47
2023-03,1,TSLA,Consumer Discretionary,21.85
2023-03,2,JPM,Financials,10.78
2023-03,3,BA,Industrials,7.7
2023-04,1,TSLA,Consumer Discretionary,31.65
2023-04,2,GOOG,Technology,13.31
2023-04,3,CAT,Industrials,11.68
2023-05,1,AMZN,Consumer Discretionary,16.5
2023-05,2,NVDA,Technology,13.59
2023-05,3,BAC,Financials,12.01
2023-06,1,CAT,Industrials,20.62
2023-06,2,V,Financials,14.69
2023-06,3,GOOG,Technology,9.12
2023-07,1,TSLA,Consumer Discretionary,30.43
2023-07,2,BA,Industrials,29.79
2023-07,3,NVDA,Technology,21.96
2023-08,1,CAT,Industrials,12.32
2023-08,2,MSFT,Technology,12.04
2023-08,3,JNJ,Healthcare,11.32
2023-09,1,NVDA,Technology,24.66
2023-09,2,AMZN,Consumer Discretionary,22.52
2023-09,3,XOM,Energy,12.0
2023-10,1,NVDA,Technology,23.05
2023-10,2,UNH,Healthcare,9.59
2023-10,3,V,Financials,7.25
2023-11,1,TSLA,Consumer Discretionary,38.57
2023-11,2,PFE,Healthcare,5.96
2023-11,3,MSFT,Technology,5.75
2023-12,1,XOM,Energy,13.75
2023-12,2,BAC,Financials,5.87
2023-12,3,AAPL,Technology,5.01
2024-01,1,JNJ,Healthcare,7.76
2024-01,2,CAT,Industrials,7.3
2024-01,3,V,Financials,3.04
2024-02,1,GOOG,Technology,12.58
2024-02,2,JNJ,Healthcare,8.99
2024-02,3,HD,Consumer Discretionary,8.21
2024-03,1,XOM,Energy,14.69
2024-03,2,AAPL,Technology,10.68
2024-03,3,V,Financials,6.87
2024-04,1,NVDA,Technology,35.19
2024-04,2,GOOG,Technology,18.95
2024-04,3,MSFT,Technology,17.95
2024-05,1,TSLA,Consumer Discretionary,20.26
2024-05,2,GOOG,Technology,11.66
2024-05,3,AMZN,Consumer Discretionary,11.42
2024-06,1,BA,Industrials,35.3
2024-06,2,XOM,Energy,19.4
2024-06,3,AAPL,Technology,13.54
2024-07,1,TSLA,Consumer Discretionary,9.45
2024-07,2,HD,Consumer Discretionary,8.64
2024-07,3,AAPL,Technology,8.21
2024-08,1,NVDA,Technology,29.96
2024-08,2,BA,Industrials,11.61
2024-08,3,HD,Consumer Discretionary,11.32
2024-09,1,NVDA,Technology,10.36
2024-09,2,CVX,Energy,7.55
2024-09,3,PG,Consumer Staples,6.69
2024-10,1,TSLA,Consumer Discretionary,21.39
2024-10,2,UNH,Healthcare,6.91
2024-10,3,WMT,Consumer Staples,6.73
2024-11,1,XOM,Energy,17.82
2024-11,2,NVDA,Technology,10.66
2024-11,3,AMZN,Consumer Discretionary,10.31
2024-12,1,AAPL,Technology,26.76
2024-12,2,UNH,Healthcare,12.87
2024-12,3,BAC,Financials,11.34
2025-01,1,TSLA,Consumer Discretionary,39.13
2025-01,2,BAC,Financials,12.17
2025-01,3,JPM,Financials,11.54
2025-02,1,JNJ,Healthcare,6.06
2025-02,2,UNH,Healthcare,4.74
2025-02,3,AMZN,Consumer Discretionary,4.36
2025-03,1,GOOG,Technology,11.99
2025-03,2,BA,Industrials,9.97
2025-03,3,TSLA,Consumer Discretionary,8.68
2025-04,1,NVDA,Technology,19.45
2025-04,2,XOM,Energy,18.57
2025-04,3,GOOG,Technology,15.63
2025-05,1,NVDA,Technology,19.28
2025-05,2,TSLA,Consumer Discretionary,17.48
2025-05,3,CAT,Industrials,10.43
2025-06,1,AMZN,Consumer Discretionary,22.02
2025-06,2,GOOG,Technology,14.38
2025-06,3,JNJ,Healthcare,9.33
2025-07,1,NVDA,Technology,25.83
2025-07,2,BA,Industrials,25.31
2025-07,3,TSLA,Consumer Discretionary,22.18
2025-08,1,NVDA,Technology,21.19
2025-08,2,JNJ,Healthcare,7.09
2025-08,3,CVX,Energy,6.95
2025-09,1,TSLA,Consumer Discretionary,25.62
2025-09,2,MSFT,Technology,10.48
2025-09,3,V,Financials,9.65
2025-10,1,AAPL,Technology,20.46
2025-10,2,TSLA,Consumer Discretionary,19.21
2025-10,3,MSFT,Technology,13.01
2025-11,1,BA,Industrials,15.53
2025-11,2,V,Financials,11.8
2025-11,3,CAT,Industrials,10.04
2025-12,1,AMZN,Consumer Discretionary,30.25
2025-12,2,XOM,Energy,13.86
2025-12,3,KO,Consumer Staples,7.99
